"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"TP2";"TestPoint_Pad_D2.0mm";1;"PC14";;;
2;"R3,R6,R10";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";3;"330";;;
3;"SW4";"SW_PUSH_6mm";1;"UI_B_SW";;;
4;"R8,R9,R1,R2";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";4;"100k";;;
5;"SW5";"SW_PUSH_6mm";1;"UI_C_SW";;;
6;"U1";"LQFP-32_7x7mm_P0.8mm_Long_pads";1;"STM32G0B0KETx";;;
7;"C10,C3,C9";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";3;"4.7uF";;;
8;"J3";"PinHeader_1x02_P2.54mm_Vertical";1;"3V3_Power";;;
9;"TP8";"TestPoint_Pad_D2.0mm";1;"PB5";;;
10;"R5";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"1k";;;
11;"J4";"PinHeader_1x02_P2.54mm_Vertical";1;"Battery";;;
12;"C8,C4";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"100nF";;;
13;"TP10";"TestPoint_Pad_D2.0mm";1;"PB9";;;
14;"D1";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N5817";;;
15;"D4";"LED_Rectangular_W5.0mm_H2.0mm";1;"GREEN_LED_PWR";;;
16;"J8";"Jack_Mono_2.5mm_with_Tip-Detect_Electrokit_41010270";1;"THERMO_CONN";;;
17;"U3";"SOT-23-5_HandSoldering";1;"MCP73831-2-OT";;;
18;"U2";"TO-92_Inline";1;"MCP1700x-330xxTO";;;
19;"TP13";"TestPoint_Pad_D2.0mm";1;"PA11/9";;;
20;"J9";"USB_C_Receptacle_6P_TopMnt_Horizontal_Long_Pads_Electrokit_41021035";1;"USB_C";;;
21;"TP9";"TestPoint_Pad_D2.0mm";1;"PB8";;;
22;"D3";"LED_Rectangular_W5.0mm_H2.0mm";1;"RED_LED_CHARGING";;;
23;"TP6";"TestPoint_Pad_D2.0mm";1;"PB3";;;
24;"TP5";"TestPoint_Pad_D2.0mm";1;"PB1";;;
25;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"STLINK";;;
26;"J7";"PinHeader_1x02_P2.54mm_Vertical";1;"5V_Power";;;
27;"R7";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"4k7";;;
28;"TP14";"TestPoint_Pad_D2.0mm";1;"PA12/10";;;
29;"R11";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"10k";;;
30;"TP1";"TestPoint_Pad_D2.0mm";1;"PC6";;;
31;"BZ1";"Buzzer_12x9.5RM7.6";1;"Passive_Buzzer";;;
32;"C2,C1";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"1uF";;;
33;"Q1";"TO-92L_Inline_Wide";1;"BC547";;;
34;"TP4";"TestPoint_Pad_D2.0mm";1;"PB0";;;
35;"TP11";"TestPoint_Pad_D2.0mm";1;"PA0";;;
36;"SW1";"SW_PUSH_6mm";1;"BOOT0_SW";;;
37;"TP12";"TestPoint_Pad_D2.0mm";1;"PA1";;;
38;"TP15";"TestPoint_Pad_D2.0mm";1;"PA15";;;
39;"J1";"PinHeader_1x06_P2.54mm_Vertical";1;"FTDI";;;
40;"J6";"PinHeader_1x04_P2.54mm_Vertical";1;"OLED_CONN";;;
41;"R4";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"2k";;;
42;"SW2";"SW_PUSH_6mm";1;"NRST_SW";;;
43;"TP3";"TestPoint_Pad_D2.0mm";1;"PC15";;;
44;"SW3";"SW_PUSH_6mm";1;"UI_A_SW";;;
45;"TP7";"TestPoint_Pad_D2.0mm";1;"PB4";;;
46;"D2";"LED_D4.0mm";1;"WHITE_LED";;;
